neu_def,subset,lane,gate,vs,n_gate,n_neu,pct,n_DN,n_neu_DN,pct_DN,OR,p
annotated neutrophil,all UMI>=500,all,DP,DN,15891,313,1.9696683657416147,1700,11,0.6470588235294118,3.0851025338764457,2.3975449817504133e-05
annotated neutrophil,all UMI>=500,all,hypoxia_plus,DN,17884,764,4.271974949675688,1700,11,0.6470588235294118,6.85214528462192,1.5115662373289406e-18
annotated neutrophil,all UMI>=500,all,lactate_plus,DN,339,7,2.0648967551622417,1700,11,0.6470588235294118,3.237404162102957,0.0198826975722823
annotated neutrophil,all UMI>=500,all,DCF+_or_DP,DN,33775,1077,3.1887490747594374,1700,11,0.6470588235294118,5.057448606809424,3.125658667417389e-12
annotated neutrophil,all UMI>=500,E27,DP,DN,7615,158,2.0748522652659225,731,3,0.4103967168262654,5.141656609002727,0.0005759168939556
annotated neutrophil,all UMI>=500,E27,hypoxia_plus,DN,9289,427,4.596834966088922,731,3,0.4103967168262654,11.69246972090574,6.149314448130241e-11
annotated neutrophil,all UMI>=500,E27,lactate_plus,DN,221,2,0.9049773755656108,731,3,0.4103967168262654,2.2161339421613397,0.3294842344851066
annotated neutrophil,all UMI>=500,E27,DCF+_or_DP,DN,16904,585,3.4607193563653573,731,3,0.4103967168262654,8.699062442551627,7.129541608990683e-08
annotated neutrophil,all UMI>=500,E29,DP,DN,8276,155,1.872885451909135,969,8,0.8255933952528379,2.292744120182244,0.0191743919846226
annotated neutrophil,all UMI>=500,E29,hypoxia_plus,DN,8595,337,3.920884235020361,969,8,0.8255933952528379,4.902170622426738,1.698577784084052e-08
annotated neutrophil,all UMI>=500,E29,lactate_plus,DN,118,5,4.237288135593221,969,8,0.8255933952528379,5.315265486725664,0.0087219019468761
annotated neutrophil,all UMI>=500,E29,DCF+_or_DP,DN,16871,492,2.916246814059629,969,8,0.8255933952528379,3.608370474387936,2.0276526601413463e-05
annotated neutrophil,annotated,all,DP,DN,12794,313,2.446459277786462,902,11,1.2195121951219512,2.0313276179793287,0.0167157555856288
annotated neutrophil,annotated,all,hypoxia_plus,DN,14459,764,5.283906217580745,902,11,1.2195121951219512,4.518729463307777,4.896847968347119e-10
annotated neutrophil,annotated,all,lactate_plus,DN,255,7,2.7450980392156863,902,11,1.2195121951219512,2.286290322580645,0.0898155363655324
annotated neutrophil,annotated,all,DCF+_or_DP,DN,27253,1077,3.951858510989616,902,11,1.2195121951219512,3.33270935207824,2.528086296706756e-06
