rank	mouse	human	direction_on_reversion	class	mechanism	evidence
1	Ndrg1	NDRG1	down	HIF target / Lai reox	Strongest single-gene drop when MCF-7 cells leave 0.5% O2; HIF-1 induces NDRG1 in hypoxia and MYC recovery plus loss of HIF drive it down, which Lai showed increases migration.	Lai 2011 PMC3166165 / GSE30019
2	Car9	CA9	down	acute HIF-1 target	CA9 is among the most O2-sensitive HIF-1 transactivation targets (membrane carbonic anhydrase for acidic hypoxia); mRNA and protein collapse once HIF-1α is hydroxylated and degraded.	canonical HIF; Godet uses CA9 as acute not memory marker
3	Slc2a1	SLC2A1	down	HIF metabolic target	GLUT1 is a direct HIF-1 target that raises glucose uptake under hypoxia; reoxygenation restores PHD/VHL control of HIF and GLUT1 transcription falls as glycolysis demand drops.	Hallmark/Buffa/Winter hypoxia
4	Vegfa	VEGFA	down	HIF angiogenic target	HIF-1/2 bind HREs in VEGFA and drive angiogenesis while O2 is limiting; the transcript falls as HIF protein is destroyed within minutes of O2 return.	canonical HIF
5	Ldha	LDHA	down	HIF glycolytic target	HIF-1 induces LDHA so pyruvate is fermented to lactate instead of entering mitochondria; when O2 returns, HIF falls and LDHA mRNA declines as OXPHOS resumes.	Hallmark hypoxia
6	Pdk1	PDK1	down	HIF metabolic switch	HIF-1 transcribes PDK1, which phosphorylates PDH and blocks pyruvate entry into the TCA cycle; reoxygenation removes that brake so PDK1 expression reverses.	canonical HIF / Kim et al. PDK1
7	Bnip3	BNIP3	down	HIF mitophagy target	HIF-1 induces BNIP3 to trigger mitochondrial autophagy and limit ROS during hypoxia; the gene turns off as HIF-1α is degraded on reoxygenation.	canonical HIF
8	Egln3	EGLN3	down (mRNA)	O2 sensor / HIF target	PHD3 is itself a HIF target and a primary O2-dependent proline hydroxylase; enzymatic activity jumps immediately with O2 (HIF destruction) while EGLN3 mRNA later falls as HIF transcription shuts off.	canonical O2 sensing
9	Egln1	EGLN1	down (mRNA)	O2 sensor / HIF target	PHD2 is the main HIF-1α hydroxylase in normoxia; O2 restores hydroxylation/VHL ubiquitination of HIF-1α within minutes, and EGLN1 mRNA (also HIF-inducible) then normalizes.	canonical O2 sensing
10	Pgk1	PGK1	down	HIF glycolytic target	PGK1 is a direct HIF-1 glycolytic enzyme gene used in classic hypoxia metagenes; transcription tracks HIF activity and therefore falls on reoxygenation.	Buffa/Winter/Hallmark
11	Eno1	ENO1	down	HIF glycolytic target	Enolase-1 is HIF-induced in the lower glycolytic arm; it recedes with HIF as cells leave anaerobic glycolysis.	Hallmark hypoxia
12	Aldoa	ALDOA	down	HIF glycolytic target	Aldolase A is a HIF-1 HRE gene in glycolysis; expression drops when HIF-1α protein is cleared.	Hallmark hypoxia
13	Adm	ADM	down	HIF peptide target	Adrenomedullin is a HIF-1-induced vasodilatory/survival peptide; mRNA follows HIF and is a consistent member of mouse HIF-1α target lists.	mouse HIF1A targets
14	Angptl4	ANGPTL4	down	HIF / metastasis target	HIF-1/2 induce ANGPTL4, which promotes vascular leak and invasion in hypoxia; transcription reverses as HIF falls unless a separate memory program holds.	HIF metastasis literature
15	P4ha1	P4HA1	down	HIF ECM target	HIF-1 induces collagen prolyl hydroxylase P4HA1 to remodel ECM under hypoxia; the gene is hypoxia-metagene core and should fall on reox.	Buffa/Winter
16	Bhlhe40	BHLHE40	down	HIF transcriptional effector	DEC1/BHLHE40 is a direct HIF-1 target that represses circadian and differentiation genes in hypoxia; it declines as HIF activity ends.	HIF transcriptional network
17	Mxi1	MXI1	down	HIF–MYC antagonist	HIF-1 induces MXI1 to antagonize MYC during hypoxia; on reoxygenation MXI1 falls and MYC function returns (Lai linked this axis to NDRG1).	Lai 2011; Gordan/Huang HIF–MYC
18	Myc	MYC	up	reox / proliferation	HIF and MXI1 suppress MYC in hypoxia; Lai saw C-MYC/N-MYC protein rise as NDRG1 fell during reoxygenation, restoring growth and migration programs.	Lai 2011
19	Hmox1	HMOX1	up (early)	reox ROS / NRF2	Reoxygenation produces a superoxide/H2O2 burst; NRF2 and residual HIF can induce HO-1 to catabolize heme and quench ROS, so HMOX1 often rises while HIF glycolytic genes fall.	ischemia–reperfusion / reox ROS
20	Ero1l	ERO1A	down	HIF ER-stress target	ERO1L is a HIF-1-induced ER oxidoreductase used in hypoxia signatures; it should recede with HIF once disulfide-load stress of hypoxia eases.	Hallmark/Buffa
21	Ankrd37	ANKRD37	down	sensitive HIF target	ANKRD37 is a small HIF-1 HRE gene that tracks HIF activity tightly in many hypoxia signatures and is expected to drop quickly on reox.	HIF / Buffa-like sets
22	Serpine1	SERPINE1	down	HIF coagulation/EMT	PAI-1 is a HIF-1 target that inhibits fibrinolysis and supports invasion; transcription should fall with HIF unless EMT memory persists.	Hallmark hypoxia
23	Lox	LOX	down	HIF ECM/metastasis	HIF-1 induces lysyl oxidase to crosslink collagen and pre-metastatic niches; mRNA is hypoxia-driven and should reverse with HIF.	Erler/HIF LOX
24	Cited2	CITED2	down	HIF feedback	CITED2 is HIF-induced and competes with HIF for CBP/p300, a negative-feedback brake; it falls as HIF transcription shuts off.	HIF feedback
25	Nqo1	NQO1	up (early)	reox ROS / NRF2	NQO1 is a canonical NRF2/ARE quinone reductase induced by the reoxygenation ROS burst rather than by HIF itself.	NRF2 / reox
26	Sod2	SOD2	up or delayed down	reox ROS / Godet memory	MnSOD detoxifies superoxide generated when ETC restarts; Godet found SOD enzymes part of MUC1-C memory, so SOD2 may stay high if cells are persistent rather than fully reverting.	Godet 2024 PMC11438863
27	Hif1a	HIF1A	weak / delayed down	HIF subunit (protein not mRNA)	The direct O2 effect is PHD hydroxylation and VHL degradation of HIF-1α protein (minutes); HIF1A mRNA is a poor reversion marker and may change only modestly.	Semenza / PHD–VHL
28	Muc1	MUC1	little change if memory	post-hypoxic memory (anti-reversion)	Godet: MUC1-C is HIF-1 and NF-κB induced under chronic hypoxia and was the 6-gene panel member that stayed up after 10 d reox; a falling HIF score with high MUC1 argues memory, not full reversion.	Godet 2024
