gene,j,b_S,b_G2M,cycle_r2
Car9,0,0.0,0.0,0.022493716374544115
Vegfa,1,0.0,0.0,0.0004286504139350278
Ldha,2,0.27262418340999384,1.243154844161176,0.1580732964217184
Pdk1,3,-0.31096415211359374,0.37135829253515806,0.052555277455537786
Egln1,4,0.0,0.0,0.009741227866804647
Pgk1,5,0.10855332621559632,0.6918100068608328,0.05410685732600051
Eno1,6,0.31223235263190474,0.7625006199762229,0.08129617444713777
Aldoa,7,0.0,0.0,0.023322488080792514
Angptl4,8,0.532121211085458,-0.1966777573730078,0.11863285179321437
P4ha1,9,0.0,0.0,0.021271740136291628
Ero1a,10,0.0,0.0,0.007389259417406646
Ankrd37,11,0.0,0.0,0.007123307966303782
Serpine1,12,0.0,0.0,0.048012388379045645
Cited2,13,0.0,0.0,0.016949699492467496
