model,palak_cell_type,n,persistent_pct,reverted_pct,median_theta,median_S
no_cycle,Tumor (epithelial),3789,24.65030351016099,59.43520717867511,0.8583581228479226,0.04392407769958721
no_cycle,Tumor (hypoxic),1640,59.329268292682926,25.54878048780488,0.1499554058830301,0.039608517293863256
no_cycle,Tumor (mito-high),384,31.510416666666668,54.166666666666664,0.7589548498116179,0.08630721566221944
no_cycle,Tumor (proliferating),3620,19.30939226519337,65.6353591160221,0.9088202139541514,0.14998765033424577
no_cycle,Tumor (ribo-high),258,3.875968992248062,89.92248062015504,0.9969704914156744,0.04799088287693811
residualize,Tumor (epithelial),3789,28.714700448667195,52.49406175771971,0.7445957443078193,0.04392407769958721
residualize,Tumor (hypoxic),1640,63.71951219512195,21.21951219512195,0.12345403241495455,0.039608517293863256
residualize,Tumor (mito-high),384,36.71875,45.05208333333333,0.6207551207334019,0.08630721566221944
residualize,Tumor (proliferating),3620,26.160220994475136,54.226519337016576,0.7608628329796161,0.14998765033424577
residualize,Tumor (ribo-high),258,6.2015503875969,86.04651162790698,0.9894785632457104,0.04799088287693811
drop_cycle_genes,Tumor (epithelial),3789,40.38004750593824,44.20691475323304,0.5597531134667627,0.04392407769958721
drop_cycle_genes,Tumor (hypoxic),1640,79.45121951219512,10.853658536585366,0.008611600224797802,0.039608517293863256
drop_cycle_genes,Tumor (mito-high),384,62.5,25.78125,0.06902162902035203,0.08630721566221944
drop_cycle_genes,Tumor (proliferating),3620,35.93922651933701,47.928176795580114,0.6562306334021459,0.14998765033424577
drop_cycle_genes,Tumor (ribo-high),258,10.077519379844961,83.72093023255815,0.9925035472977128,0.04799088287693811
