cohort,lineage,calibration,n,persistent_pct,partial_pct,reverted_pct,median_theta
E15S_MC38,Tumor,separate (Tumor E14),2327,26.729694886119464,16.802750322303396,56.467554791577136,0.7998430755027667
E15S_MC38,neutrophil,separate (neu E14),1024,20.3125,9.27734375,70.41015625,0.9804975177768038
E15S_MC38,Tumor,combined (Tumor+neu E14),2327,39.57885689729265,26.643747314138377,33.77739578856897,0.45838038641588885
E15S_MC38,neutrophil,combined (Tumor+neu E14),1024,9.765625,9.1796875,81.0546875,0.9845559884521708
E15S_MC38,Tumor+neutrophil,pooled on Tumor axis,3351,21.247388839152492,13.279618024470308,65.4729931363772,0.919181204947621
E15S_MC38,Tumor+neutrophil,pooled on neu axis,3351,60.60877350044763,10.146225007460458,29.245001492091916,0.06616817529034594
E15S_MC38,Tumor+neutrophil,pooled on combined axis,3351,30.468516860638616,21.307072515666963,48.22441062369442,0.6684877019782245
E15S_MC38,Tumor+neutrophil,separate then concat states,3351,24.768725753506416,14.50313339301701,60.728140853476575,0.8689105462517777
A223_E27E29,Tumor,separate (Tumor E14),9691,28.242699411825406,15.13775668145702,56.619543906717574,0.8216147229559755
A223_E27E29,neutrophil,separate (neu E14),388,48.96907216494845,8.762886597938143,42.2680412371134,0.3528577111463457
A223_E27E29,Tumor,combined (Tumor+neu E14),9691,35.43493963471262,21.44257558559488,43.1224847796925,0.5772915129660381
A223_E27E29,neutrophil,combined (Tumor+neu E14),388,30.412371134020617,12.11340206185567,57.47422680412371,0.8222175441514906
A223_E27E29,Tumor+neutrophil,pooled on Tumor axis,10079,28.15755531302709,14.892350431590435,56.950094255382474,0.8291008857986826
A223_E27E29,Tumor+neutrophil,pooled on neu axis,10079,66.33594602639151,12.054767338029567,21.609286635578925,0.0380006676218586
A223_E27E29,Tumor+neutrophil,pooled on combined axis,10079,35.241591427721005,21.083440817541423,43.67496775473757,0.5852929754910314
A223_E27E29,Tumor+neutrophil,separate then concat states,10079,29.040579422561763,14.892350431590435,56.067070145847794,0.8159729621354113
