mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	4.64491594029967	0.2057649918164657	0.8298738174911461	-0.0003986156119531668	-0.3249014516677318	1.0817473980584298
Slc2a3	SLC2A3	glycolysis	False	False	0.0	0.9366482524505273	0.8165260911984574	0.06915069280360173	0.2219779550628982	0.0036533652959568033
Hk2	HK2	glycolysis	True	True	2.08872027686551	0.21506853885907148	0.6200989255495872	0.11278099501230837	-0.05964578390508656	0.4834011766605715
Pfkl	PFKL	glycolysis	True	True	1.9686962732820226	0.0684338308809619	0.796392641369408	-0.1452144670278241	-0.033310534853338014	0.36879418782106005
Pfkp	PFKP	glycolysis	True	True	1.8896220298070046	0.3957831104051062	0.7115445506663988	0.22912086064763884	-0.12074483435256103	0.6964139244142463
Pfkfb3	PFKFB3	glycolysis	False	False	0.0	0.41367905110675374	0.9414642897854755	0.12248570829749618	0.29760002273831554	0.017984050012912357
Aldoa	ALDOA	glycolysis	True	True	2.9246241784068556	0.005075250981477952	0.8393028249906854	0.262783230113361	-0.056918024945031745	0.6984697356154009
Aldoc	ALDOC	glycolysis	False	False	0.0	0.009286302546056502	0.9928511586274186	-0.0277793806209862	-0.002402565423261838	0.3134947379334801
Tpi1	TPI1	glycolysis	False	False	0.0	0.0029874769002563167	0.8931471254939605	0.013810115289575611	-0.11956379912377123	1.0316828351862382
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0003354626279025118	0.9850826244810609	0.05406832253048064	0.06491095951705043	0.783284484354147
Pgk1	PGK1	glycolysis	True	True	3.484765071714777	0.028730630835068573	0.7955457989853154	-0.06670857439904204	-0.16759209275319298	0.8557555410902726
Eno1	ENO1	glycolysis	True	True	3.6915297209319755	0.02190079931807788	0.6820679398810662	-0.30689796683980336	-0.12546334278004717	0.5167027626455833
Eno2	ENO2	glycolysis	True	True	2.762253829891256	0.29845968648735627	1.1222069196621443	0.18032410624262685	-0.10641858163136295	0.9255688134244692
Pkm	PKM	glycolysis	True	True	2.0520753932896456	0.0777084314290104	0.9158203647338082	0.047804351291369604	-0.1429250809472179	0.4225717744781771
Ldha	LDHA	glycolysis	True	True	3.3779529884815163	0.007845423759421322	0.9252317800951374	0.08307386698005415	-0.3230404492637265	0.6843337778263147
Pdk1	PDK1	mitochondria	True	True	1.234924449903401	0.3345629710945756	0.9580858080789442	-0.1428565168196188	0.07291300106112449	0.7969349428084558
Slc16a3	SLC16A3	transport	True	True	3.3460509129159166	0.0577769365171393	0.8908141058650999	0.22339993077725662	-0.3028401613232179	0.7667578495727408
Vegfa	VEGFA	angiogenesis	True	True	1.1284201502339637	0.0788809995425433	1.3667179092772384	-0.21675046594542557	-0.05107036212537744	0.4707955948205181
Adm	ADM	peptide	False	False	0.0	0.0051430137977868575	0.9849990999998033	0.09828012194483635	-0.035454141048538	1.0506513022465747
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.013541557611449236	1.194757889216171	0.03325987909797763	-0.01863080351309863	0.0
Car9	CA9	pH	True	True	2.331690626436632	0.14763112747326754	0.802887945174403	0.2198348919187534	0.01446519675075113	0.677821055241502
Bnip3	BNIP3	mitophagy	True	True	3.325809440614992	0.07456866278980497	0.5598384673042814	0.36898401988299795	-0.21561724898044546	0.7897601995911812
Bnip3l	BNIP3L	mitophagy	True	True	2.0668512130944854	0.050963052947636645	0.9770430019909765	-0.257382894645731	0.1174638309776086	0.651364408068347
Ndrg1	NDRG1	stress	True	True	4.011185776534716	0.1666703924915563	0.6625068754941985	0.09258850935841623	-0.15637306941921236	0.6847079812916486
Ddit4	DDIT4	signaling	False	False	0.0	0.003746189438801286	0.9848426420355411	0.010307103662998467	0.18174957419760643	0.6454575609760353
P4ha1	P4HA1	ECM	True	True	3.925082480215004	0.8233948420043041	0.7001329958250085	0.16965820453902605	-0.41597385784966157	0.727854513644237
P4ha2	P4HA2	ECM	True	True	2.994574288799431	0.11059592433941566	0.9318424910103938	-0.04200968605059478	-0.13212407270801776	0.6184452152434823
Lox	LOX	ECM	False	False	0.0	0.02035388540494372	0.9663748826054601	-0.10946186944951473	0.10773875698804689	0.5195251156382351
Egln3	EGLN3	feedback	True	True	3.5331336831239097	0.24873967686212883	0.9129746220917984	0.030034837073133657	0.07460164604033892	0.3782103995340758
Bhlhe40	BHLHE40	transcription	True	True	2.5410833298583873	0.07921702455871721	0.8837732229259828	0.08318415750389392	-0.2093886227457209	0.648463586683055
Cxcr4	CXCR4	migration	False	False	0.0	0.0051248667072714155	0.9961840612324202	0.055442862379120585	0.13048119545337977	0.24648866062741273
Serpine1	SERPINE1	ECM	True	True	2.3223108286608967	0.348076365276752	0.8194779867812682	0.27192103213482594	-0.07666847784858616	0.17503441002021425
