mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	2.1471226093574876	0.10986225960685918	0.9635900379671639	-0.014809426725633087	-0.05988178872310742	2.5448001030586753
Slc2a3	SLC2A3	glycolysis	True	True	0.8696523263401228	0.2911479142494319	0.9558316788624472	0.015862086312333074	0.04950882821581164	0.31900612757582336
Hk2	HK2	glycolysis	True	True	0.903758126441309	0.15710503730143147	0.9632192552590532	0.009355838472354437	0.11851474231771215	0.9001688067454876
Pfkl	PFKL	glycolysis	True	True	1.7559336972311281	0.032161100051318996	0.9685575886076795	0.0025589873723366892	-0.01438697273891447	0.0
Pfkp	PFKP	glycolysis	True	True	2.2532555792671967	0.21493645909474335	0.9384081360281507	0.001322071111069663	-0.01446725931128313	1.2301526864815098
Pfkfb3	PFKFB3	glycolysis	True	True	0.7976029926571431	1.2170000391300646	0.8643198410586013	-0.03637486010362698	-0.18401336394708107	0.17616099373564773
Aldoa	ALDOA	glycolysis	True	True	0.7145709477662257	0.005177265289770601	0.9873042214443938	-0.050098341069059735	-0.2731874560574232	0.642653774756099
Aldoc	ALDOC	glycolysis	False	False	0.0	0.005774994939857496	0.9973361043732734	-0.0013163291318220914	-0.006556972541582934	0.0
Tpi1	TPI1	glycolysis	True	True	0.456949701420874	0.004056469064732123	0.992150100831891	-0.020386858777621576	-0.06405510814710089	0.19715070880464736
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0008147530628514187	0.9975631665695565	0.007506608809729707	0.01282427486041105	0.0
Pgk1	PGK1	glycolysis	True	True	2.060571994569673	0.012552938767744905	0.9754051119800685	-0.015419852824679402	-0.034493666286363314	0.20070982967252327
Eno1	ENO1	glycolysis	True	True	0.5021147111386466	0.1845495294300108	0.9308483031738654	-0.027821651530042516	-0.08839880868379003	0.08371032015465008
Eno2	ENO2	glycolysis	True	True	0.6180300650820816	0.1128524986794917	0.9656173028739765	0.10096537903128086	0.30734635462214593	1.0874682841269903
Pkm	PKM	glycolysis	True	True	1.2792088427665742	0.03407451370440195	1.0058701048019738	0.09880233251109127	0.2510748574701103	0.0
Ldha	LDHA	glycolysis	True	True	1.166411989231872	0.016316109914637535	0.9424785166255752	0.04172752457522839	0.021452485763914207	0.0
Pdk1	PDK1	mitochondria	True	True	0.7256411809887214	0.14122606035219645	0.9648434023097979	0.03943781569502888	0.19130693014920647	0.8100096541524832
Slc16a3	SLC16A3	transport	True	True	0.6418022036795509	0.03270882723390327	0.9903765371640691	-0.024335586718012198	0.09533614733238557	2.7592693405730806
Vegfa	VEGFA	angiogenesis	True	True	0.7267554971659813	0.023286337971734117	0.9932011633803848	-0.010355852668865807	-0.05814944240215945	1.7622648255714284
Adm	ADM	peptide	False	False	0.0	0.01664624146197419	0.9950630888393689	0.05151041528049442	0.06325887480788284	1.1481409096404562
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.014460361304705434	0.9959322955851045	-0.009454290760204608	-0.047119063385465	0.28041837675601655
Car9	CA9	pH	False	False	0.0	0.07404902748728438	0.9820210167999773	-0.015137236268299673	-0.04688968419393852	0.7003579099546003
Bnip3	BNIP3	mitophagy	True	True	1.420823491797424	0.057930258942875054	0.9651871540162728	0.10237915289553015	0.13769084238823287	0.667521473904696
Bnip3l	BNIP3L	mitophagy	True	True	0.7693253584422578	0.02951963178838538	0.9873771019230906	-0.0037300976757037433	0.023383537100795455	0.6987014874735499
Ndrg1	NDRG1	stress	True	True	2.03570052901166	0.09354732185919162	0.9687161713541166	-0.007086400199992571	-0.00974617289915735	1.979200363557522
Ddit4	DDIT4	signaling	False	False	0.0	0.015773561739989058	0.9959989946642114	-0.007968762570504011	-0.05614127946480909	1.4409834861548791
P4ha1	P4HA1	ECM	True	True	1.5276044921582557	0.25458858553145153	0.9269585388419023	0.06515555997401948	0.028348453348001006	1.9311297594438104
P4ha2	P4HA2	ECM	False	False	0.0	0.042461669067948286	0.9887708360873916	-0.016106019492322685	-0.030844038671771712	1.032296966860232
Lox	LOX	ECM	False	False	0.0	0.014660674865615595	0.9959251670213332	0.038122691243171296	0.10831529605733276	0.6489112232280949
Egln3	EGLN3	feedback	True	True	1.1615087828398614	0.22626839986576391	0.9514463157997146	0.011379350709594047	0.09321057801149393	0.735983040854066
Bhlhe40	BHLHE40	transcription	False	False	0.0	0.005525139977600046	0.9964896674529575	0.01687817664107223	0.026616377972033596	0.2780920673962167
Cxcr4	CXCR4	migration	False	False	0.0	0.0158693184217652	0.9957246718096131	-0.004873319038252614	-0.021553311682575155	0.49081087680595
Serpine1	SERPINE1	ECM	False	False	0.0	0.11666742968186296	0.9774284819545004	0.06616422208362771	0.11613857760496314	0.1095536943566423
