lane	lineage	ocm_gate	n	n_control_in_fit	frac_persistent_forced	frac_persistent_empirical	mean_h	mean_p_away
E27	Tumor	hypoxia_plus	2535	13	0.3487179487179487	0.3487179487179487	1.034199995928912	0.0189284446047438
E27	Tumor	DN	13	13	0.0	0.0769230769230769	0.1181055640461547	0.0113078619828653
E27	Tumor	DP	2518	13	0.4312946783161239	0.4312946783161239	1.383775416625156	0.0131930637998738
E27	neutrophil	hypoxia_plus	150	4	0.72	0.72	3.618637591833224	0.1573454173399784
E27	neutrophil	lactate_plus	1	4	0.0	0.0	0.1733854992596173	0.0646230720116809
E27	neutrophil	DN	4	4	0.0	0.25	1.6241365642126833	0.0835883244056728
E27	neutrophil	DP	51	4	0.9019607843137256	0.9019607843137256	4.2572728481375	0.0669647097523885
E29	Tumor	hypoxia_plus	1748	12	0.0566361556064073	0.0566361556064073	0.1234624670663166	0.021022932003255
E29	Tumor	lactate_plus	12	12	0.0	0.0	-0.3667928801233134	0.0119599812646118
E29	Tumor	DN	12	12	0.0	0.0	0.003527780062915	0.0137282261273157
E29	Tumor	DP	2853	12	0.0844724851033999	0.0844724851033999	0.3367110705289824	0.0130201110260633
E29	neutrophil	hypoxia_plus	140	3	0.9214285714285714	0.9214285714285714	6.837705477295528	0.1243526954331697
E29	neutrophil	DN	3	3	0.0	0.0	-2.3328685390246027	0.068132135049939
E29	neutrophil	DP	60	3	0.95	0.95	7.2	0.0652071024534923
