mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	8.9415336053768	0.4003518872603779	0.13742308671113698	-0.038667515309854	-0.0896983665024958	0.2788531267595063
Slc2a3	SLC2A3	glycolysis	True	True	2.53320022831757	0.7474545738561797	0.5247824872823545	0.13497667388515452	0.18810443947965186	0.0
Hk2	HK2	glycolysis	True	True	1.161306087979669	0.24527341336845018	0.5338181142584478	0.04766647804216419	0.15434703963695268	0.39307900569140547
Pfkl	PFKL	glycolysis	False	False	0.0	0.10796188789379295	0.7398748355696245	0.05073512525150136	0.05663504402666696	0.4035838394897957
Pfkp	PFKP	glycolysis	True	True	1.946750180971527	0.4887893798811967	0.48875843486561277	0.16915896271813782	0.23562930566116572	0.3469152519486219
Pfkfb3	PFKFB3	glycolysis	True	True	2.7840661248206864	1.0899444035957613	0.37805605524070873	0.30201150828569795	0.3456944989373252	0.21896789751113674
Aldoa	ALDOA	glycolysis	False	False	0.0	0.001707406165909916	0.9782933968318526	0.02986158140949571	0.08322759214228091	0.6376978415909872
Aldoc	ALDOC	glycolysis	False	False	0.0	0.11126355601139502	0.779706414474262	-0.002291618414293653	-0.005104010349660033	0.030939127729947263
Tpi1	TPI1	glycolysis	False	False	0.0	0.016257768541715702	0.6136327919931361	0.007662284037388113	0.01690673437505944	0.6491163634434037
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0007189639450083096	1.577350450677354	0.018672747338762615	0.025936645137918563	0.5077291826325326
Pgk1	PGK1	glycolysis	False	False	0.0	0.04121082105919847	0.5566655718333776	0.09315110824902637	0.07850049773155315	0.6177978040491758
Eno1	ENO1	glycolysis	False	False	0.0	0.03124270555948763	0.7188092217061908	0.06278511851495674	0.06019164862446516	0.5879037106233856
Eno2	ENO2	glycolysis	False	False	0.0	0.6742189845625233	0.7373728214992542	0.0024455886572875003	0.004358043327232926	0.0014119237986401946
Pkm	PKM	glycolysis	True	True	0.9047603457281245	0.08552700409634806	0.5204395674171546	0.1058117072712339	0.14743294956542496	0.6283553250394546
Ldha	LDHA	glycolysis	True	True	1.6250262910145807	0.05404471127019918	0.462674286629342	-0.08407390120406172	-0.1025369613230814	0.6636504550439399
Pdk1	PDK1	mitochondria	False	False	0.0	0.6054744605478234	0.4205438662237897	0.02950698816655173	0.04282535779233996	0.15930266309665206
Slc16a3	SLC16A3	transport	True	True	1.8642978303455675	0.07927258780752544	1.3137928815244646	-0.05679826650545911	-0.13660732965223837	0.10694904066903708
Vegfa	VEGFA	angiogenesis	True	True	1.7393829965440317	0.08069942458086801	0.8720189365748647	0.05594728458185185	0.04108151221362185	0.3014610575914763
Adm	ADM	peptide	False	False	0.0	0.700958904054152	0.8038692523906088	-0.0014594388507837646	-0.0032492060152831104	0.012960179277230949
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.11067277918863201	0.7508610952237847	0.021029940655940157	0.026700167765659193	0.016288481985257446
Car9	CA9	pH	False	False	0.0	0.7120795778411723	0.7651799260020327	-0.001074549361622568	-0.002415644960697047	0.0012581903480518538
Bnip3	BNIP3	mitophagy	False	False	0.0	0.09821275504304516	0.7587350489376986	0.04238878948946225	0.06086032726658827	0.606162840399584
Bnip3l	BNIP3L	mitophagy	True	True	0.5908328593989192	0.09816021156696367	0.6150197014445715	0.13236482651528594	0.11470614442447458	0.3436855726134146
Ndrg1	NDRG1	stress	True	True	1.890018732462674	0.6174687812219852	0.31593324886889107	0.3177058469173033	0.3931915983668929	0.2644066131695551
Ddit4	DDIT4	signaling	False	False	0.0	0.007330305886001219	1.022542172413078	-0.019083932104776255	-0.03166865388514528	0.25141801938944575
P4ha1	P4HA1	ECM	True	True	3.6750543171097827	1.100074460992964	0.26332973930295284	0.24025760627970072	0.26989786671138144	0.44522309265284665
P4ha2	P4HA2	ECM	False	False	0.0	0.07441974046578743	0.8358903837675303	0.10613203783767476	0.08786079370749593	0.0093985981420381
Lox	LOX	ECM	False	False	0.0	0.7024895310428941	0.8035536354333883	-0.0014621661512892192	-0.0032436167158687817	0.0
Egln3	EGLN3	feedback	True	True	2.6051179036579137	0.8682151653559543	0.3488023537818755	0.10618212281495855	0.12329718060671709	0.3551431908106512
Bhlhe40	BHLHE40	transcription	True	True	0.77442420251723	0.1179559743014911	0.8255515922229735	0.021405743653773072	0.059340747981146115	0.28507116427451773
Cxcr4	CXCR4	migration	False	False	0.0	0.01919421956925379	1.235871298849587	0.04087423932543152	0.003258763130535463	0.0699632574140702
Serpine1	SERPINE1	ECM	False	False	0.0	0.14542507598405502	0.7707167708365759	0.21848350065520927	0.26979745482689815	0.0
