mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	2.1647044507142383	0.29118308148878175	0.5512239876848205	-0.15683983865665038	0.3618257788618016	0.4354132457764123
Slc2a3	SLC2A3	glycolysis	True	False	0.0	0.46535286624172967	0.4257065546970997	0.19559428084404723	0.08000765523071436	0.016124972223901995
Hk2	HK2	glycolysis	True	True	1.410327827353004	0.09355867375212087	1.305728409523832	-0.01910199650399657	0.03933580798458844	0.1900123678711866
Pfkl	PFKL	glycolysis	True	True	1.8282915170246503	0.034262741866208445	0.6257183406715455	-0.342185901115169	0.0019806403024535835	0.3501296407518168
Pfkp	PFKP	glycolysis	True	True	2.154533667888647	0.25467107975864395	0.8396717593615358	-0.13300247434460383	-0.07315980613689507	0.33053593513353546
Pfkfb3	PFKFB3	glycolysis	True	True	0.7587986711127411	1.8444444094890347	0.5921383896250209	0.48969200760014087	0.4148062919950807	0.0
Aldoa	ALDOA	glycolysis	True	True	3.847151025252099	0.0014844492715312479	0.7105088075787409	-0.023436650653666506	-0.061166029187722945	0.4358148432481478
Aldoc	ALDOC	glycolysis	False	False	0.0	0.004692886290888085	0.9214596989083678	0.048322457588839865	0.09479085502000974	0.3499508075888226
Tpi1	TPI1	glycolysis	True	True	3.799170906954191	0.0014447987215251835	0.9438187643730154	0.2797337412066705	0.07304384132853102	0.37018761913308135
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0003354626279025118	0.7600334491309194	-0.034108133122110286	0.14919881847921002	0.37416182952160604
Pgk1	PGK1	glycolysis	True	True	3.6763585068864217	0.011279428395785272	0.8288984675426367	-0.34085761010580756	0.06968945765610236	0.4406283758740238
Eno1	ENO1	glycolysis	True	True	3.6107200378676763	0.005224266593905327	0.8209702315163939	-0.12860451069534554	0.17141648044012037	0.34692124030944194
Eno2	ENO2	glycolysis	False	False	0.0	0.23457351715424477	0.5570215967307283	-0.1344712038305864	0.048618877967866195	0.02547838176022207
Pkm	PKM	glycolysis	True	True	3.1312965678470177	0.015025658253099983	0.8414056788675441	-0.40472429096296775	-0.12266805912963663	0.30142416644874875
Ldha	LDHA	glycolysis	True	True	3.119045713018369	0.0053787667763197065	1.1721654766447056	-0.13142594760548992	0.008042557025019728	0.3739539375450026
Pdk1	PDK1	mitochondria	True	True	1.1710110508000595	0.238838998134939	0.8785351527533474	0.15421711107179364	-0.08818611257532198	0.3540084036902422
Slc16a3	SLC16A3	transport	True	True	2.697066001828852	0.011947321827948325	0.7667734253759779	-0.24136762634686434	0.3937926188145069	0.380213250246963
Vegfa	VEGFA	angiogenesis	True	True	1.3928940100533411	0.06040194943550359	0.9112974205110229	0.06743203592454414	0.08636861938317388	0.21444463378465622
Adm	ADM	peptide	False	False	0.0	0.007955199620225832	0.9489210748076047	-0.026645603906589644	-0.03532135342532396	0.0516811498902566
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.02483678900605525	0.7627324030418766	-0.19985145581549987	0.11245877353088461	0.0
Car9	CA9	pH	True	True	1.5519075641410365	0.10031228320667196	0.47761833076171956	-0.07591405718683651	-0.1881267944684051	0.6075262734245986
Bnip3	BNIP3	mitophagy	True	True	3.1567784594267696	0.024560210759434473	0.6732925590850639	0.12317923316383743	0.20583301069479176	0.6300887548332358
Bnip3l	BNIP3L	mitophagy	True	True	2.8369881146803246	0.02596999832626486	0.8849606996085868	0.0986990850794328	0.05084767908729119	0.4728063411168171
Ndrg1	NDRG1	stress	True	True	2.5987844042776462	0.1850596902315291	0.682713873268749	0.10668651834099625	-0.29619496634107634	0.3824597327227027
Ddit4	DDIT4	signaling	False	False	0.0	0.003920970125447805	0.754805337782522	0.26439545128582403	0.03970837244882953	0.28568538758888873
P4ha1	P4HA1	ECM	True	True	2.753845253244467	0.2870169005865133	0.7008384266267192	-0.1607592659540603	0.21341472613684984	0.4057760767921478
P4ha2	P4HA2	ECM	True	True	2.3286905588138436	0.04412245842016381	0.8255066411781533	-0.08745167114774388	-0.2568376578931315	0.5756758165286725
Lox	LOX	ECM	False	False	0.0	0.001611641157187399	0.9797626937521677	-0.00880171481942014	-0.01150896825725411	0.01458266345389383
Egln3	EGLN3	feedback	True	True	2.0846954451325064	0.2598710678091656	0.6561930896177733	-0.24892114285700548	0.14425576268264823	0.2700256773392724
Bhlhe40	BHLHE40	transcription	True	True	1.4355697027588366	0.08386844496242071	0.8667293125291718	-0.22781686764501374	-0.07694820823477283	0.16648736909327774
Cxcr4	CXCR4	migration	False	False	0.0	0.02530736059294156	0.9588032248142844	-0.0909606619583751	-0.07076505768715642	0.0
Serpine1	SERPINE1	ECM	True	True	1.5604360453840238	0.7439500977876462	0.4388369969586637	-0.20202877475282546	0.21720332303677764	0.10042347332794489
