mouse	detected	use_velocity	beta	lambda	kappa	c_s	c_g2m
Slc2a1	True	True	0.7604581051120259	0.6909580637044317	0.18960621509189338	0.08251817602388482	0.2517345465029353
Slc2a3	False	False	0.0467548357903747	0.0	0.021095963288978857	-0.004969047024888562	-0.03101274959385868
Hk2	True	True	0.4027897798288368	1.373748184533251	0.13085780783005851	0.06179390686986005	0.03354762339092317
Pfkl	False	False	0.33353878661063047	0.0	0.03422494275816015	0.035466917722593985	0.14078151867452846
Pfkp	True	True	0.47293581913019167	1.117150855126496	0.2537553424554402	0.12191120679701954	0.13323975332384302
Pfkfb3	True	True	0.2775725313566999	0.8527291644234298	1.0052722332284747	0.2586689631459469	0.06459266668228632
Aldoa	False	False	0.740658442518313	0.0	0.0003354626279025118	0.08756061939101106	0.12155706494545922
Aldoc	False	False	0.18724223955736993	0.0	0.002178296369916055	0.0003427850534352748	0.0003857582983102907
Tpi1	True	True	0.729375473135545	1.1796628628894947	0.002830666788985095	-0.02916306903665268	-0.031894858991350195
Gapdh	False	False	0.6739968019227149	0.0	0.0003354626279025118	-0.01700283385249783	-0.01675866679838025
Pgk1	True	True	0.7201191278099757	2.1631032136461257	0.015076578827811899	-0.11389402318924965	0.12795078753235034
Eno1	True	True	0.7300673707897295	1.259088840449644	0.009839268666980445	-0.07024902142644777	-0.15241078046217751
Eno2	False	False	0.0	0.0	0.7631227678048923	-0.007415521867039124	0.0024065556128447115
Pkm	True	True	0.6690767760989814	2.2229393231279846	0.012857633103641176	0.1470466491799985	-0.16612859075029
Ldha	True	True	0.6147159303206275	1.610342989075387	0.010498772602727748	-0.03656932733982707	0.17967673237407975
Pdk1	True	True	0.23357566924371848	0.979372343575498	0.28145682564730806	0.11124040256659216	0.13758867759156349
Slc16a3	True	True	0.2729061557922094	1.7527746760688554	0.013741257400484558	-0.08668583332999984	-0.09632240024901037
Vegfa	True	True	0.6709684170533219	1.4198881305116076	0.03766194014740712	0.16274503978792035	0.0786057156431779
Adm	False	False	0.2078372164787907	0.0	0.004999183391584929	0.0005742824819797784	0.0002271290018375998
Angptl4	False	False	0.020421376003222688	0.0	0.09948848978991545	-0.025298023093018453	-0.027472082257823546
Car9	False	False	0.29548643799914653	0.0	0.04261028048389317	0.023436432624906363	0.0011728171971907232
Bnip3	True	True	0.7114075661020013	1.138472961702078	0.03205777695310147	0.004784482093240638	-0.03193272950413809
Bnip3l	True	True	0.4160158495329206	1.884081445601896	0.028530837123398798	0.08021710868100575	0.11650053963679101
Ndrg1	True	True	0.1906116914788982	1.3745979532380146	0.15016913916997895	-0.024865174666338676	-0.07579596357785376
Ddit4	False	False	0.17136715980328762	0.0	0.0003354626279025118	-0.0004869402144464966	-0.0009275307318330941
P4ha1	True	True	0.4664325114681518	1.4799023810183354	0.2577306931733306	0.02484676200768265	0.1930691044873252
P4ha2	True	True	0.38644958350233805	0.5739837811926146	0.06417968274419128	0.015485459403288096	0.024991685854784014
Lox	False	False	0.0022484589733129117	0.0	0.8569600173577323	-2.358760935077794e-05	-5.371588105632676e-06
Egln3	True	True	0.6918518192025209	0.803938465172176	0.385600467686451	-0.04381958435951186	-0.013923230594385487
Bhlhe40	True	True	0.06904031589643045	1.3624288070612676	0.05203876961791508	-0.10514412993523989	-0.24461109715815507
Cxcr4	False	False	0.18805474012743537	0.0	0.03039035606802361	-0.007676734649043241	0.00809644486250695
Serpine1	True	True	0.05422047837914415	0.6978000515846573	0.9216655710528896	-0.0024978472609120425	-0.01700419431755147
