mouse	detected	use_velocity	beta	lambda	kappa	c_s	c_g2m
Slc2a1	True	True	0.572389742608988	4.544974942333584	0.12308145710714527	-0.021437583278603303	-0.29614807260316633
Slc2a3	False	False	0.002447069841694347	0.0	0.40998849858697806	-0.0015276858455512256	0.044450245654214564
Hk2	True	True	0.20600898674430992	1.9959817862693685	0.15374479689169743	0.12821617954405054	0.030065512009904576
Pfkl	True	True	0.24847359301741725	1.8095586530412446	0.05320426307536291	-0.04316879008705488	-0.05101654777577858
Pfkp	True	True	0.2332677702279363	2.0197532336541424	0.3379612878992649	0.2667487492851273	-0.09165119865276647
Pfkfb3	False	False	0.013704976265114606	0.0	0.24607799435085131	0.03765874314511277	0.13058145636788765
Aldoa	True	True	0.5534155741385623	2.7402481629395607	0.003968837109379347	0.29635685840016945	-0.01614377597237472
Aldoc	False	False	0.1868057604480254	0.0	0.002981868095211558	-0.020963703937254212	0.015059828597245074
Tpi1	False	False	0.6994147665541638	0.0	0.0032321381341882025	-0.009991337014063734	-0.027418963584649427
Gapdh	False	False	0.5279034445641972	0.0	0.0003354626279025118	0.01969412781800748	-0.037674033451862286
Pgk1	True	True	0.6715718725240107	3.542656928310005	0.019117598111420914	-0.07412625102983585	-0.10693116158034348
Eno1	True	True	0.3165412971032555	3.4556939411026395	0.015066285610580012	-0.20697753090779694	-0.04557114498048018
Eno2	True	True	0.3519926935786752	2.5326302760916324	0.17458017647751	0.2965208842542457	-0.0448268295108022
Pkm	True	True	0.44263769412099196	2.1018758795039654	0.0672254077039807	0.0074705231540862635	-0.15432690053909986
Ldha	True	True	0.6068972816112449	3.3102992238186015	0.0059932627248052575	0.11214434863665498	-0.35577046229779685
Pdk1	True	True	0.3297666296436061	1.3463098135579536	0.245876178154135	-0.1544842989425239	0.12851766942406662
Slc16a3	True	True	0.46885412984443964	3.2803122022815474	0.034117720389749494	0.21623358151941258	-0.12245575504584533
Vegfa	True	True	0.3701749323430649	1.0416284358723518	0.06839676802247656	-0.1653077216489139	-0.03491174832114663
Adm	False	False	0.5299792544212752	0.0	0.005079712759579628	0.11312455595463404	-0.06579857915038499
Angptl4	False	False	0.0	0.0	0.00936959929511264	0.030108474707250494	-0.05141845024179332
Car9	True	True	0.3537720119653205	2.085380455745684	0.09659199759393051	0.16694431707308732	0.021761638766848015
Bnip3	True	True	0.7195485477621958	3.368784469613017	0.06139672710890435	0.35503127739149126	-0.24807409126506128
Bnip3l	True	True	0.49910106259803894	2.1263481987322015	0.041528716031657344	-0.23815807176434758	0.11397101155271566
Ndrg1	True	True	0.6041528369407725	3.854750444618774	0.11406942772659315	0.15420047022172595	-0.1282032428381205
Ddit4	False	False	0.34946149576596436	0.0	0.004226800886606534	0.02980153206294537	0.23545823428578522
P4ha1	True	True	0.3492738348814011	3.952592564711853	0.5131007405252714	0.24015240420135883	-0.3970262222105993
P4ha2	True	True	0.30035063092896314	2.861954730406628	0.07270947168057124	0.02693739052868434	-0.060948280668670786
Lox	False	False	0.1627007785914933	0.0	0.02162121907733034	-0.10632667749085194	-0.0086145828405886
Egln3	True	True	0.28485145861871075	3.3147488823004965	0.10819281954990827	0.08469367120641011	0.140117378917635
Bhlhe40	True	True	0.2893255443117767	2.364364934061519	0.06434284999595602	0.07143339863360477	-0.24787580797664122
Cxcr4	False	False	0.07845029466404552	0.0	0.00595038597723283	0.029409847919122503	0.07882222286562413
Serpine1	True	True	0.02682592155298914	2.175089574349921	0.16393613245314073	0.21276354453948804	-0.14693340876776115
