mouse	detected	use_velocity	beta	lambda	kappa	c_s	c_g2m
Slc2a1	True	True	0.6784137525838023	4.627021681691005	0.12762997622280103	-0.012974661660474108	-0.32795269750633715
Slc2a3	False	False	0.0024064496243174217	0.0	0.38564522656720307	-0.012411383764299412	0.0253262020161031
Hk2	True	True	0.30161830314292515	2.070075977633719	0.15901206048867664	0.10093474113524716	-0.06719107959226008
Pfkl	True	True	0.25291847776633075	1.946807968042899	0.05561528111889651	-0.15313237199790375	-0.040731308703846114
Pfkp	True	True	0.29315012423619874	1.891216244737475	0.3468076740118129	0.2234653840225348	-0.12365437755561735
Pfkfb3	False	False	0.022761558522821808	0.0	0.2352427268972709	0.040916727944273305	0.1534442388934137
Aldoa	True	True	0.5998835781419338	2.8854270311720973	0.004061408984735353	0.25388165647345534	-0.0630728177057512
Aldoc	False	False	0.2888963463964142	0.0	0.008559688122910563	-0.05014016507426432	-0.04551308661259165
Tpi1	False	False	0.7009483784388907	0.0	0.0030949405192106172	0.01524610321991785	-0.11747130212127077
Gapdh	False	False	0.6245967751795924	0.0	0.0003354626279025118	0.033402887739524885	0.025654177419692104
Pgk1	True	True	0.7272682716276115	3.467236859565112	0.02098498664535389	-0.07536250235869255	-0.17137358584897336
Eno1	True	True	0.34955417565306884	3.660125680268519	0.015991446789619217	-0.31763450328898585	-0.1338755113811704
Eno2	True	True	0.5076043965990082	2.716575934253538	0.18558380778290537	0.1739476307067484	-0.10969139412675373
Pkm	True	True	0.5245787595507716	2.0602049162486686	0.06843207873675027	0.04425072469916072	-0.14411299599104574
Ldha	True	True	0.6497152452206261	3.3520638879014286	0.006316945978545298	0.07676861170398029	-0.3277479124667317
Pdk1	True	True	0.37246749540508783	1.2256935933359479	0.257127479184465	-0.1490755168031892	0.06998095976752701
Slc16a3	True	True	0.45125078468810076	3.30388350999013	0.03975220802009667	0.2123925654970173	-0.30970677011810155
Vegfa	True	True	0.5372379395358776	1.126428559137337	0.06743289136407744	-0.2183736697034097	-0.048330739584379424
Adm	False	False	0.6946206750241399	0.0	0.005236004160751729	0.10559040620797142	-0.022235492383640438
Angptl4	False	False	0.0	0.0	0.0131393323222748	0.035394931746061516	-0.015238250892942883
Car9	True	True	0.5206579259895979	2.282655162721143	0.10037678580068679	0.2059891678514809	0.002827000650211233
Bnip3	True	True	0.7714728440302676	3.322160146951351	0.06107975515621014	0.3588431039021789	-0.21968440501583286
Bnip3l	True	True	0.5949243052221729	2.0564818469090578	0.041833941615510545	-0.26048354595042733	0.11456045984376874
Ndrg1	True	True	0.702738767732349	3.9995620876332945	0.11711724151851333	0.0825728425071707	-0.1605200819324227
Ddit4	False	False	0.44307521552212664	0.0	0.003878662742062751	0.018662853264217228	0.19665506931961552
P4ha1	True	True	0.3886994191782168	3.9172669188381413	0.5674068594990853	0.1624144177365449	-0.41977537841314505
P4ha2	True	True	0.33621282003994407	2.9479969813971545	0.07660518333633934	-0.05389822733342604	-0.1393553384681669
Lox	False	False	0.3594526140744105	0.0	0.020245194422524076	-0.11161406801582592	0.10397534760858272
Egln3	True	True	0.34075949397261956	3.406407544375813	0.1200629329128971	0.008142201656093244	0.06095559202115226
Bhlhe40	True	True	0.4384912076734818	2.5157917871108646	0.06181355960538311	0.07568571686454972	-0.21363036883396733
Cxcr4	False	False	0.09695322732605938	0.0	0.0051469209102446845	0.03135375256945479	0.08271220956375575
Serpine1	True	True	0.019743278852578438	2.1645918001921207	0.1640261173854315	0.2342813135477731	-0.10613818689134737
