mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	5.7990902933828	0.45796675104911455	0.33206640774683227	0.17396098176712646	0.07256212498055985	0.28464920425019924
Slc2a3	SLC2A3	glycolysis	True	True	3.151593141060042	0.5921112412103484	0.45525857587597324	-0.048204010777524155	-0.06574676007612994	0.0
Hk2	HK2	glycolysis	True	True	2.0840446874055987	0.31180950983803807	0.36810201722214203	-0.08374707717941518	-0.1015955255817845	0.44689718562778724
Pfkl	PFKL	glycolysis	False	False	0.0	0.015792889437097203	1.5487601835979152	0.014835686666252403	0.029237203168152145	0.4639838610705061
Pfkp	PFKP	glycolysis	True	True	2.5820783025286875	0.2104110105549394	0.5834561554427324	0.07102251197500889	0.016611637205891795	0.37314295810181713
Pfkfb3	PFKFB3	glycolysis	True	True	2.3956445577640877	0.500762293818386	0.5340859886397031	0.14811426567200317	0.17758897850982475	0.3073769095008831
Aldoa	ALDOA	glycolysis	False	False	0.0	0.0007474160431911663	1.6930675415868175	-0.0012215881802456132	-0.024845611905782185	0.5668381853465351
Aldoc	ALDOC	glycolysis	False	False	0.0	0.049120801500396404	0.7689745200903427	-0.0009380513904158013	-0.0037862781546831154	0.011946220765954734
Tpi1	TPI1	glycolysis	False	False	0.0	0.012185384718951597	0.7213389065361598	0.004078128089462309	-0.010436805977771626	0.3988615902216781
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0003354626279025118	3.339536248054416	0.016160138418070118	-0.026509799556167186	0.4502939195235199
Pgk1	PGK1	glycolysis	False	False	0.0	0.04835837814745794	1.0464536923602292	0.005275112109666842	-0.060198742708798776	0.34442848752614935
Eno1	ENO1	glycolysis	False	False	0.0	0.053262478738692706	0.9645887326325839	0.021117838918560266	0.00033168256538419365	0.5945336008454518
Eno2	ENO2	glycolysis	False	False	0.0	0.6766370561155175	0.8257817191139818	0.0016524163409724776	-0.0007503212814590261	0.0031919560206704473
Pkm	PKM	glycolysis	True	True	3.861811371939119	0.05471769254522692	0.5702487619011359	-0.03627643680271832	-0.020145229007101275	0.5204478755417676
Ldha	LDHA	glycolysis	True	True	3.8229954430412003	0.035762936024601545	0.4547807783147406	-0.064858333866024	-0.02110996411840822	0.44153334724494914
Pdk1	PDK1	mitochondria	False	False	0.0	0.526840689759058	0.6763072219226616	-0.021750162636251485	-0.0917956201138138	0.21817235556779
Slc16a3	SLC16A3	transport	True	True	5.083447419350896	0.05084636646584348	0.8302238194465279	0.0483832279166509	-0.0055218471328954705	0.06809387491180258
Vegfa	VEGFA	angiogenesis	False	False	0.0	0.09988867441899113	1.0815589374648695	-0.02588689496157017	0.00285057708370665	0.353835160869104
Adm	ADM	peptide	False	False	0.0	0.5877896831485147	0.6904229423793821	-0.0007653258042502895	-0.003786364115637796	0.013367318411511212
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.06855174212453703	0.7621473068427379	-0.0009665189625505368	-0.004248841688848762	0.0031627577793034377
Car9	CA9	pH	False	False	0.0	0.16368978208339646	0.7489581321300337	-0.0007616210896270433	-0.01361632774482804	0.00781707624095118
Bnip3	BNIP3	mitophagy	False	False	0.0	0.02594787436052672	2.867830928334862	0.0007649850173847404	-0.01213788364847994	0.5623771182322816
Bnip3l	BNIP3L	mitophagy	True	True	4.035113143090364	0.047556532048512797	1.077642070613212	0.058970157290007465	0.022015580956834084	0.22683231186479208
Ndrg1	NDRG1	stress	True	True	1.0577169516946774	0.36467927634675673	0.6339209064962026	0.038826649376353044	0.022671388665590316	0.22696653680374668
Ddit4	DDIT4	signaling	False	False	0.0	0.05687481143057017	0.9401072091380435	0.006822352252137042	-0.035870997520437535	0.3283497029524797
P4ha1	P4HA1	ECM	True	True	3.6262575369185948	0.8426420936692072	0.24584172519680525	-0.03230397182247066	0.09605003220691101	0.47665256825884067
P4ha2	P4HA2	ECM	False	False	0.0	0.10279651134015319	0.7545123153724262	-0.0008859234949542551	-0.0043350373623880605	0.01611492234959452
Lox	LOX	ECM	False	False	0.0	0.58790642271646	0.6882513703685313	-0.0007665758825262226	-0.0037741646610415422	0.0
Egln3	EGLN3	feedback	True	True	2.9837575379549133	0.8981071965665797	0.33231511056286195	0.006636239565099315	-0.059935060881544884	0.4116654164973214
Bhlhe40	BHLHE40	transcription	True	True	2.190243013693699	0.06450352125951059	1.1631528917936216	-0.03152725556151595	-0.007261534211993636	0.2581066275416501
Cxcr4	CXCR4	migration	False	False	0.0	0.05535601565363935	1.3220702254129333	-0.0426426689428242	-0.0005871019789620678	0.0300385795020184
Serpine1	SERPINE1	ECM	False	False	0.0	0.5617376893260089	0.5784025111876279	0.011704661989853897	0.022443197538889417	0.028826857828180053
