mouse	human	role	detected	use_velocity	lambda	kappa	rho_control	c_s	c_g2m	beta
Slc2a1	SLC2A1	glycolysis	True	True	3.5572177284570863	0.2648316229887213	0.23494200669676046	-0.033943776050469915	0.24733129699745265	0.5981734279736046
Slc2a3	SLC2A3	glycolysis	True	False	0.0	0.10570565160140799	0.46955296941325336	-0.01886773078722927	0.11243909784692074	0.023110983699933776
Hk2	HK2	glycolysis	True	True	1.4032126505598885	0.09288060956949208	0.6651474789754205	0.06604872399979518	-0.20486029838224873	0.253676346767634
Pfkl	PFKL	glycolysis	True	True	0.576047358131168	0.03722327091817954	0.43042264176318124	-0.1773815794111009	-0.0592810787343167	0.2640328077404645
Pfkp	PFKP	glycolysis	True	True	0.6374790036401219	0.2049657067983481	0.427831802427818	0.004988595108392917	0.03856450428597653	0.3815368810181332
Pfkfb3	PFKFB3	glycolysis	True	True	0.8139499299043799	0.5210146992871327	0.8071253151823852	0.24779287477490133	0.06803682761305867	0.10219574096649278
Aldoa	ALDOA	glycolysis	True	True	1.374806961292253	0.0042233395059274505	0.547665445683867	0.02778419078585999	0.12236935503633128	0.2611126921288113
Aldoc	ALDOC	glycolysis	False	False	0.0	0.006502936401197671	0.8697808895150042	-0.02812239454591871	-0.030047506993669745	0.17557175611906245
Tpi1	TPI1	glycolysis	True	True	3.088213249550625	0.0031440080209203785	0.7413152476676457	0.07608814812556067	0.06628115289119964	0.28872126077979976
Gapdh	GAPDH	glycolysis	False	False	0.0	0.0010198445080700416	2.187827421879167	-0.1235084898302905	-0.13963714196167828	0.2615307874641659
Pgk1	PGK1	glycolysis	True	True	2.0463264169780606	0.020030223392299887	0.4241684991085048	0.05521831127617354	0.31757586398962195	0.1991745962997755
Eno1	ENO1	glycolysis	True	True	1.7677499927550375	0.013223993523834757	0.8000272257898675	0.018066879932214373	0.46282819480892196	0.2338528432926614
Eno2	ENO2	glycolysis	False	False	0.0	0.09651486230023908	0.5450529322152273	-0.21246361167615832	-0.11433194842101138	0.04839860976233029
Pkm	PKM	glycolysis	True	True	1.0393840027154437	0.02867057283610278	0.4972254454228895	-0.13649838367811143	0.07728365142521582	0.2938262905655965
Ldha	LDHA	glycolysis	True	True	2.0709292133695847	0.011656831079552605	1.4052479125699673	0.24588196831233297	0.11772996657104931	0.2627118187600331
Pdk1	PDK1	mitochondria	True	True	0.36492400276641995	0.1508242642299505	0.7993979063091788	-0.006845504877121769	-0.14911501951184422	0.23472223710823756
Slc16a3	SLC16A3	transport	True	True	1.8054791599830482	0.023200445135513982	0.6011775539312493	-0.040247949886046575	0.37934759903521337	0.35704244768143245
Vegfa	VEGFA	angiogenesis	True	True	1.2687189421684724	0.06270895546399578	0.8212392101926532	-0.16094705527061984	0.12201818008163007	0.375415727968918
Adm	ADM	peptide	False	False	0.0	0.05889911221527405	0.8911268665968359	-0.04159952304042236	-0.041643641618268216	0.012573637958628935
Angptl4	ANGPTL4	angiogenesis	False	False	0.0	0.032402751716724076	0.6008568204903488	-0.14503646241158943	-0.09620800396124322	0.008715106761095024
Car9	CA9	pH	True	True	1.4502539535388856	0.12675444459362062	0.313838100768973	-0.37169438804973215	-0.3223431920023033	0.25177322184212664
Bnip3	BNIP3	mitophagy	True	True	1.978564092146456	0.045284128458119376	0.599390590404715	-0.06737259475568767	0.05495589941119066	0.4708191624569634
Bnip3l	BNIP3L	mitophagy	True	True	1.34084023130376	0.04835637124411446	0.468996616611711	-0.036100084897597626	0.10179779646819469	0.34529205557999887
Ndrg1	NDRG1	stress	True	True	4.951057035391791	0.18770401479955537	0.13431707491044353	0.26789438954735045	0.010804704250533143	0.5276510176643271
Ddit4	DDIT4	signaling	False	False	0.0	0.005695920992405124	1.5287898451110156	-0.007400083814041795	0.008311421179553524	0.3556317218327887
P4ha1	P4HA1	ECM	True	True	2.3672347569123153	0.33043318905535013	0.38517281843976636	-0.2528635308964535	0.16180855829419463	0.4035781493146818
P4ha2	P4HA2	ECM	True	True	0.7583603595007922	0.05678662423446963	0.8775518497266583	-0.15812901191101683	-0.18574305272664682	0.4077172446576508
Lox	LOX	ECM	False	False	0.0	0.5360177460700393	0.8865700217702142	-0.04843452823721296	-0.04871773530254203	0.0
Egln3	EGLN3	feedback	True	True	1.4077722135656139	0.2066631804573564	0.27514808814098707	-0.1499691773766907	0.11801982889481565	0.3138371311861255
Bhlhe40	BHLHE40	transcription	True	True	1.977259106530958	0.0702558114603158	0.574892523983689	0.02580051968471348	-0.21992013507458136	0.3277618181692203
Cxcr4	CXCR4	migration	False	False	0.0	0.010550176692485149	0.9002908601689713	-0.03578224797598708	-0.03470271208224308	0.06105419779930064
Serpine1	SERPINE1	ECM	True	True	3.44185684181094	0.26205997486690724	0.15184125400706902	-0.14133255134896458	-0.04241312564825739	0.1037363072938966
