gene_name	gene_id
Acot6	ENSMUSG00000043487
Adm	ENSMUSG00000030790
Agpat5	ENSMUSG00000031467
Ahnak	ENSMUSG00000069833
Akap10	ENSMUSG00000047804
Akap12	ENSMUSG00000038587
Aldoa	ENSMUSG00000030695
Aldoc	ENSMUSG00000017390
Alkbh5	ENSMUSG00000042650
Aloxe3	ENSMUSG00000020892
Angptl4	ENSMUSG00000002289
Ankrd37	ENSMUSG00000050914
Ankzf1	ENSMUSG00000026199
Ano6	ENSMUSG00000064210
Arid1b	ENSMUSG00000069729
Arrdc3	ENSMUSG00000074794
Atp9a	ENSMUSG00000027546
Bace2	ENSMUSG00000040605
Bccip	ENSMUSG00000030983
Bcl2l2	ENSMUSG00000089682
Bhlhe40	ENSMUSG00000030103
Bhlhe41	ENSMUSG00000030256
Blcap	ENSMUSG00000067787
Bmp4	ENSMUSG00000021835
Brk1	ENSMUSG00000033940
Bzw1	ENSMUSG00000051223
C1d	ENSMUSG00000000581
Cav1	ENSMUSG00000007655
Ccng2	ENSMUSG00000029385
Ccnl1	ENSMUSG00000027829
Cdc73	ENSMUSG00000026361
Cga	ENSMUSG00000028298
Chd2	ENSMUSG00000078671
Ciart	ENSMUSG00000038550
Cited2	ENSMUSG00000039910
Cldn14	ENSMUSG00000047109
Clic6	ENSMUSG00000022949
Clk3	ENSMUSG00000032316
Cln5	ENSMUSG00000022125
Cox20	ENSMUSG00000026500
Crkl	ENSMUSG00000006134
Ctdsp1	ENSMUSG00000026176
Cux1	ENSMUSG00000029705
Cyp1b1	ENSMUSG00000024087
Daam1	ENSMUSG00000034574
Dab2ip	ENSMUSG00000026883
Dapk2	ENSMUSG00000032380
Dars	ENSMUSG00000026356
Dazl	ENSMUSG00000010592
Ddit4	ENSMUSG00000020108
Ddx50	ENSMUSG00000020076
Dennd1a	ENSMUSG00000035392
Dhcr7	ENSMUSG00000058454
Dhrs13	ENSMUSG00000020834
Dnajb6	ENSMUSG00000029131
Dnase1	ENSMUSG00000005980
Dnm2	ENSMUSG00000033335
Dpt	ENSMUSG00000026574
Dsp	ENSMUSG00000054889
Dynll1	ENSMUSG00000009013
Dyrk1b	ENSMUSG00000002409
Egfr	ENSMUSG00000020122
Egln3	ENSMUSG00000035105
Elf3	ENSMUSG00000003051
Ell2	ENSMUSG00000001542
Emp3	ENSMUSG00000040212
Eno1	ENSMUSG00000063524
Errfi1	ENSMUSG00000028967
Evl	ENSMUSG00000021262
Evx1	ENSMUSG00000005503
Fam110c	ENSMUSG00000036136
Fam13a	ENSMUSG00000037709
Fam162a	ENSMUSG00000003955
Fbl	ENSMUSG00000046865
Fbxo42	ENSMUSG00000028920
Fbxw7	ENSMUSG00000028086
Fem1c	ENSMUSG00000033319
Fntb	ENSMUSG00000033373
Fos	ENSMUSG00000021250
Foxo1	ENSMUSG00000044167
Fut11	ENSMUSG00000039357
Gadd45b	ENSMUSG00000015312
Gapdh	ENSMUSG00000057666
Gbe1	ENSMUSG00000022707
Gdf15	ENSMUSG00000038508
Gja1	ENSMUSG00000050953
Golga1	ENSMUSG00000026754
Gpr135	ENSMUSG00000043398
Gpr37l1	ENSMUSG00000026424
Grb10	ENSMUSG00000020176
Gse1	ENSMUSG00000031822
Guk1	ENSMUSG00000020444
Hey1	ENSMUSG00000040289
Hilpda	ENSMUSG00000043421
Hk2	ENSMUSG00000000628
Htr5a	ENSMUSG00000039106
Iba57	ENSMUSG00000049287
Igfbp3	ENSMUSG00000020427
Ilvbl	ENSMUSG00000032763
Inha	ENSMUSG00000032968
Inhba	ENSMUSG00000041324
Insig2	ENSMUSG00000003721
Irx1	ENSMUSG00000060969
