gene,module,rank,spliced_frac,unspliced_frac,cohens_d_e15_vs_e14,cycle_r2_spliced_e14,cycle_r2_unspliced_e14,kappa_e14,kappa_persist,kappa_ss,kappa_ratio,use_velocity,use_theta,use_memory
Ndrg1,hif_down,1,0.8027430415490117,0.46107301331181927,0.05256840859505091,0.03762120511266842,0.02868490092308318,,,,,False,False,
Car9,hif_down,2,0.2029043969342477,0.06333198870512304,0.20707209177291833,0.015749943581698678,0.001041757765509188,0.07433109704423767,0.15723624549793924,0.1509817192685867,2.115349453329891,False,True,
Slc2a1,hif_down,3,0.7341670028237193,0.48043565954013717,0.15707245523354835,0.018123999333191865,0.019841888006275066,,,,,False,False,
Vegfa,hif_down,4,0.809197256958451,0.19241629689390882,0.34664194165250417,0.022419322134143993,0.02407157571071683,0.02557539065924794,0.04589766623624483,0.04120859587784445,1.7946027432292009,True,True,
Ldha,hif_down,5,0.9862847922549415,0.336022589753933,0.9179633366068924,0.2135338279712733,0.07104773404650389,0.011052164862378665,0.006844577069285903,0.007464477444488141,1.6147330580838564,True,True,
Pdk1,hif_down,6,0.6046793061718435,0.290843081887858,0.3711792625468181,0.06225439858070314,0.053261713980633285,0.19186868484404115,0.21663720683046014,0.21314898255019815,1.12909100829326,True,True,
Bnip3,hif_down,7,0.7918515530455829,0.18152480839048002,0.13057356206620155,0.07035199480029763,0.005679100850013885,,,,,False,False,
Egln3,hif_down,8,0.3303751512706737,0.16216216216216217,-0.1432159731495256,0.022201022936313985,0.009416186081549927,,,,,False,False,
Egln1,hif_down,9,0.899959661153691,0.400161355385236,0.2889611809535606,0.06859168560697038,0.023528922204065217,0.06454816514182261,0.12879389770461172,0.11746325048318096,1.9953146215950677,True,True,
Pgk1,hif_down,10,0.972972972972973,0.3622428398547802,0.6009865927596335,0.10725866880058677,0.055112896336491524,0.014579780798143394,0.01568251975500572,0.015532941963851193,1.0756348104357474,True,True,
Eno1,hif_down,11,0.9645018152480839,0.19443323920935862,0.5670436750149718,0.14504123088516818,0.003047823173182862,0.012882378766453102,0.0068246927235474705,0.008004546941033084,1.8876130088618628,True,True,
Aldoa,hif_down,12,0.9794271883824123,0.07503025413473174,0.3208098321891287,0.029460779909152857,0.04608292306040085,0.0006780786254049592,0.0017185330981844117,0.0015444577699681192,2.534415676586291,False,True,
Adm,hif_down,13,0.017749092375958047,0.0,-0.17452419354724114,0.032454760576304476,0.0,,,,,False,False,
Angptl4,hif_down,14,0.46308995562726907,0.031060911657926585,0.37966332769060207,0.16645716936009236,0.018290687382620407,0.007254099145068806,0.016552250318626383,0.015541907596829845,2.2817788932314604,False,True,
P4ha1,hif_down,15,0.8785800726099233,0.6950383219039935,0.633074248065564,0.07645155171138207,0.024360539585216112,0.34867093324616777,0.31643567941917844,0.32083766884702486,1.1018698456702403,True,True,
Bhlhe40,hif_down,16,0.7043162565550625,0.1936264622831787,-0.323431334463425,0.05879311140023913,0.057348730778494894,,,,,False,False,
Mxi1,hif_down,17,0.5986284792254941,0.37232755143202906,-0.6619431565258787,0.19842670203397328,0.13281738440220414,,,,,False,False,
Myc,reox_up,18,0.8100040338846309,0.13231141589350545,0.7400398252002662,0.2695628757896289,0.011282285884195775,,,,,False,False,
Hmox1,reox_up,19,0.9084308188785801,0.22428398547801534,0.18049648487240202,0.013217305975391502,0.004971019914018049,,,,,False,False,
Ero1a,hif_down,20,0.8846308995562727,0.5506252521177895,0.32475009347093087,0.06505422958794393,0.06278831717196642,0.08048869145438162,0.11207240747235078,0.10792824983784396,1.3923994221706262,True,True,
Ankrd37,hif_down,21,0.63654699475595,0.09318273497377975,0.29325517660660294,0.0013687607273921154,0.032136682034464736,0.0166716741938922,0.04258843586919314,0.039191639005262395,2.554538636845228,False,True,
Serpine1,hif_down,22,0.590560709963695,0.42839854780153286,0.4846499586797568,0.0745373767817914,0.01679725131715948,0.5217629859811395,0.6458522837578681,0.6355152173863134,1.2378269465462124,True,True,
Lox,hif_down,23,0.0052440500201694235,0.0,-0.0006641501996354065,0.027054062395530654,0.0,,,,,False,False,
Cited2,hif_down,24,0.9556272690601049,0.0,0.4421488591701222,0.055632407077429,0.0,0.0,0.0,0.0,,False,True,
Nqo1,reox_up,25,0.4376764824526019,0.12061315046389673,0.2504959642129709,0.0504691634390354,0.003579660014215613,,,,,False,False,
Sod2,memory,26,0.7805566760790641,0.21702299314239612,0.4858370279736815,0.09168565793226147,0.02919341604925263,,,,,False,False,True
Hif1a,,27,0.8208955223880597,0.44332392093586126,-0.13766976494406769,0.0026655508971988873,0.01489309447202003,,,,,False,False,
Muc1,memory,28,0.018959257765227916,0.004437273093989512,-0.4094359036132921,0.01869746555548235,0.0,,,,,False,False,False
