module,gene,nz_neu_E14,nz_neu_E15,mean_log1p_E14,mean_log1p_E15
nox_capacity,Cybb,0.44,0.3224907063197026,0.8127689494985026,0.5604812693954798
nox_capacity,Cyba,0.8275,0.7574349442379182,2.0145310858055803,1.630435918085447
nox_capacity,Ncf1,0.0725,0.05204460966542751,0.09393026306172654,0.06436121311645654
nox_capacity,Ncf2,0.6225,0.6152416356877324,1.0139815838267974,1.0402459020342159
nox_capacity,Ncf4,0.5325,0.40892193308550184,0.8101909637256149,0.5948971301182996
nox_capacity,Rac2,0.72,0.6775092936802974,1.3266446125991593,1.2692714781454588
priming_wright2013,Cxcl1,0.045,0.11152416356877323,0.0821541811145089,0.2040943253067055
priming_wright2013,Cxcl2,0.945,0.9842007434944238,4.701283821686541,5.683387747536881
priming_wright2013,Il1a,0.245,0.27230483271375466,0.42643354730272165,0.524184742584109
priming_wright2013,Il1b,0.9675,0.9869888475836431,4.29079300817287,4.816947029054916
priming_wright2013,Il1rn,0.88,0.8838289962825279,2.369834290475607,2.4181291818989115
priming_wright2013,Icam1,0.1975,0.1570631970260223,0.23773346451728958,0.1922874547264944
priming_tnf,Ccl3,0.7925,0.8280669144981413,2.6625842590101105,3.0463639357380665
priming_tnf,Ccl4,0.8125,0.8066914498141264,2.923108486352701,3.3510784722618854
priming_tnf,Tnf,0.355,0.30111524163568776,0.5323853566538121,0.5000205634638867
priming_tnf,Nfkbia,0.9325,0.9358736059479554,3.3400499002588107,3.579746237880511
priming_tnf,Tnfaip3,0.355,0.4674721189591078,0.5025161062933308,0.7448777177574302
nrf2_ros_response,Hmox1,0.525,0.4767657992565056,0.9495531383359835,0.8673844899411886
nrf2_ros_response,Nqo1,0.0075,0.011152416356877323,0.010710387620631057,0.01149769932711535
nrf2_ros_response,Gclc,0.0475,0.0604089219330855,0.03821726932849335,0.05985037593828961
nrf2_ros_response,Gclm,0.11,0.13289962825278812,0.1261747815055537,0.15406004025323036
nrf2_ros_response,Txnrd1,0.2575,0.46096654275092935,0.3279266737958863,0.7468509077991604
nrf2_ros_response,Sod2,0.315,0.2184014869888476,0.4128153003386412,0.27983381212041303
nrf2_ros_response,Gpx1,0.615,0.48605947955390333,1.3656408117028098,0.9353619068563328
hif_tumor_module,Ldha,0.6775,0.7351301115241635,1.318202258985152,1.47550161294092
hif_tumor_module,Vegfa,0.265,0.35223048327137546,0.3902089009702221,0.5420611365312475
hif_tumor_module,Pgk1,0.64,0.6273234200743495,1.1969408270508943,1.1076722434857689
hif_tumor_module,Eno1,0.7675,0.6236059479553904,1.4739025193714883,1.0633263587013408
hif_tumor_module,Slc2a1,0.4525,0.5325278810408922,0.6547553979048644,0.8197164708308877
hif_tumor_module,P4ha1,0.3375,0.26301115241635686,0.44998302016673675,0.378039288054375
mature_receptors,Fpr1,0.5475,0.4944237918215613,0.9582411140340316,0.8313175668384637
mature_receptors,Cxcr2,0.8875,0.8401486988847584,2.4226397587678195,2.043703385721806
mature_receptors,C5ar1,0.74,0.6050185873605948,1.281054533576679,0.9996858821519052
