gene,module,rank,spliced_frac,unspliced_frac,cohens_d_e15_vs_e14,cycle_r2_spliced_e14,cycle_r2_unspliced_e14,kappa_e14,kappa_persist,kappa_ss,kappa_ratio,use_velocity,use_theta,use_memory
Ndrg1,hif_down,1,0.17015140591204037,0.07858687815428983,-0.03929088096944376,0.0038254022238625174,0.0011823176603503738,,,,,False,False,
Car9,hif_down,2,0.009372746935832732,0.0014419610670511895,0.02020370187802819,0.01799609429205684,0.0,0.0,0.18963631691017305,0.18963631691017305,,False,True,
Slc2a1,hif_down,3,0.5270367700072098,0.3720259552992069,0.2158817551543344,0.0009355532361986496,0.0017925200470236824,,,,,False,False,
Vegfa,hif_down,4,0.3410237923576063,0.058399423215573176,0.1997567986077839,0.003641378593644218,0.008986359170865654,0.11396389695069313,0.05328434357369018,0.05328434357369018,2.1387876683342357,False,True,
Ldha,hif_down,5,0.7361211247296323,0.08147080028839221,0.13607321247547513,0.06102369327365198,0.0004462019498704395,0.027688570540062206,0.013213564479251027,0.013213564479251027,2.0954656545204715,False,True,
Pdk1,hif_down,6,0.07858687815428983,0.03172314347512617,0.044268146729598466,0.00018072808434665966,0.003193096993719169,0.21606237869411396,0.33115300221278027,0.33115300221278027,1.532673129927925,False,True,
Bnip3,hif_down,7,0.37635183850036047,0.04830569574621485,-0.10472402152232636,0.012390114975733835,0.006551491082818828,,,,,False,False,
Egln3,hif_down,8,0.3410237923576063,0.2328767123287671,-0.05184061146505959,0.013293983294760503,0.0011068711084263327,,,,,False,False,
Egln1,hif_down,9,0.11391492429704397,0.03893294881038212,-0.14018490830846775,0.009744633566265093,0.013452922097240805,0.2674416293795115,0.20840546524880565,0.20840546524880565,1.2832755084432421,False,True,
Pgk1,hif_down,10,0.6488824801730353,0.04542177361211247,-0.11256216953416447,0.015278028245970243,0.014710273281883457,0.01725313478943309,0.02533364032535842,0.02533364032535842,1.468349991728711,False,True,
Eno1,hif_down,11,0.6762797404470079,0.03677000720980533,-0.47339994496042803,0.009463921647346996,0.0013608275139105341,0.01703508861440041,0.014066992547351559,0.014066992547351559,1.210997201929112,False,True,
Aldoa,hif_down,12,0.7858687815428983,0.005767844268204758,-0.11486197545446286,0.009886957401422314,0.00249575366740451,0.0017407486465437728,0.002402935007816438,0.002402935007816438,1.3804032032926898,False,True,
Adm,hif_down,13,0.0021629416005767843,0.0,0.056829512926859775,0.0,0.0,,,,,False,False,
Angptl4,hif_down,14,0.012977649603460706,0.0007209805335255948,0.1133164832102413,0.0008093845799854726,0.0,0.0,0.007589239963272044,0.007589239963272044,,False,True,
P4ha1,hif_down,15,0.2912761355443403,0.2480173035328046,-0.12727094754702156,0.00739383874186994,0.0022139762879563873,0.7120881627697521,0.7002146162039511,0.7002146162039511,1.0169570104522676,True,True,
Bhlhe40,hif_down,16,0.39149242970439796,0.06344628695025234,-0.018615530643620887,0.00378141231670015,0.0009581083299299298,,,,,False,False,
Mxi1,hif_down,17,0.24585436193222782,0.1780821917808219,-0.11996342536374908,0.002000385009699124,0.008535058186774025,,,,,False,False,
Myc,reox_up,18,0.043258832011535686,0.003604902667627974,0.10129739402837608,0.009567563654776845,0.0010964675238501753,,,,,False,False,
Hmox1,reox_up,19,0.5075702956020187,0.059841384282624366,-0.07746564322136204,0.0070846070691793495,0.0032201840419431305,,,,,False,False,
Ero1a,hif_down,20,0.40663302090843545,0.21052631578947367,0.1471478658936714,0.009570713150267252,0.0019021101428817744,0.3651076211541814,0.3328235499412622,0.3328235499412622,1.0970005614645262,True,True,
Ankrd37,hif_down,21,0.19682768565248737,0.0136986301369863,-0.1021098983680836,0.015679095043429125,0.02909124862726531,0.02335194017639569,0.06157037059659139,0.06157037059659139,2.6366276262915043,False,True,
Serpine1,hif_down,22,0.021629416005767843,0.015861571737563085,0.053986090544734744,0.001666250263565927,0.01464466288681121,0.40930984729386216,1.6698022038002212,1.6698022038002212,4.079555414657284,False,True,
Lox,hif_down,23,0.0007209805335255948,0.0,0.03636110656828241,0.0,0.0,,,,,False,False,
Cited2,hif_down,24,0.6322999279019467,0.0,-0.08156043827317845,0.00419513711346331,0.0,0.0,0.0,0.0,,False,True,
Nqo1,reox_up,25,0.010093727469358327,0.007209805335255948,0.06219868424054143,0.005822885140584155,0.0006395797588857333,,,,,False,False,
Sod2,memory,26,0.25522710886806055,0.20259552992069213,-0.17666406434619017,0.014638967692219507,0.01332628750464726,,,,,False,False,True
Hif1a,,27,0.5032444124008651,0.277577505407354,-0.025939876095119392,0.015534097036318473,0.006857762774999165,,,,,False,False,
Muc1,memory,28,0.0014419610670511895,0.0014419610670511895,0.014965712283142018,0.0016512093201573874,0.0016512093201573874,,,,,False,False,False
