cell_group,feature,median_E14,median_E15,cohens_d_E15_minus_E14,mwu_p,auroc_E15
TAM,lib,7585.0,7759.0,0.23047550813176812,0.0002459965316579394,0.5320329952130107
TAM,frac_mt,0.007737578845492851,0.009652121455861654,0.265040037633619,5.4168523386661854e-20,0.5799896882134736
TAM,tam,4.55541060095185,4.604469354959652,-0.03703260855515212,0.4065988417352616,0.4927491990733998
TAM,lyso,4.592126933751393,4.775128185593773,0.32908776348016394,2.645424898632466e-29,0.5981876336181768
TAM,nox,2.2832410310167104,2.0501634997506595,-0.35819534188413643,1.6651724769504758e-32,0.39629414172843236
TAM,nrf2,1.7474742682577462,1.98749471708216,0.31998816584346,8.531407103130579e-23,0.5858412410533462
TAM,hif,2.813249857776296,2.951976519426773,0.17620605972093556,3.4336958167852778e-09,0.551629771392158
TAM,mono,3.2651965506376417,2.0473880648715497,-0.8268601235838352,6.985946071642976e-132,0.2866118499161411
neutrophil,lib,3456.0,3376.5,-0.05596472098692528,0.5437585010062707,0.5102683550185874
neutrophil,frac_mt,0.007653090467469642,0.004427719464713516,-0.0628878513238343,0.03348457027300435,0.464042750929368
neutrophil,tam,2.497636183537634,1.7401406942666533,-0.6389062418679825,1.2532882920333215e-28,0.3131342936802973
neutrophil,lyso,3.618282679419795,3.101361907762196,-0.4953734021358187,7.138862881688032e-20,0.3456796003717472
neutrophil,nox,2.1441604336806313,1.8806676521671797,-0.20651433154125515,3.7062549823402057e-05,0.43057736988847584
neutrophil,nrf2,1.633356308973708,1.7873748682364472,0.1860204167954464,0.0007829986905527372,0.5564068308550186
neutrophil,hif,2.6323706470093775,2.57530861511641,0.08358821547497139,0.7068635717320856,0.5063592007434945
neutrophil,mono,2.646368635590212,0.6118131422121043,-0.9824522179811094,6.196017942664405e-53,0.24961431226765796
Tumor,lib,2843.5,59614.0,1.474003813769888,4.787816399716643e-131,0.8641639447421806
Tumor,frac_mt,0.027366885543342347,0.024338276300925197,-0.41924547063906903,0.6336701771050769,0.4928746130057869
Tumor,tam,1.6999948830337963,0.6829876439846868,-0.7857409709709999,4.83991346912433e-41,0.29951309565819
Tumor,lyso,3.224595351528201,3.27480081640607,0.28236328708533925,0.1384633031028251,0.5221501494088832
Tumor,nox,0.0,0.0,-0.5313534155141029,6.453727997005986e-07,0.43617876568619446
Tumor,nrf2,1.6227703400030582,1.88630075744213,0.4709908202915028,6.081022470437633e-11,0.5977593882492825
Tumor,hif,2.3367990048839484,2.90836886537337,0.6865354722988953,6.543578002669047e-29,0.6668125409592416
Tumor,mono,1.5739983298139175,0.24204581872796244,-1.3466522054228693,4.917619406411831e-73,0.23215437353437618
