gene,use_theta,use_velocity,sample,n,mean_s,mean_u,mean_a,nz_s,nz_u,nz_a,spearman_s_u,kappa
Ndrg1,False,False,E14S,152,2.8223684210526314,0.6052631578947368,0.09210526315789473,0.6118421052631579,0.29605263157894735,0.06578947368421052,0.30632215127322376,0.21445221445213847
Ndrg1,False,False,E15S,2327,7.391920928233778,1.6287064890416845,0.2466695315857327,0.8152127202406532,0.4718521701761925,0.15513536742587022,0.30099909809836145,0.22033602697514604
Car9,True,False,E14S,152,0.17763157894736842,0.013157894736842105,0.0,0.06578947368421052,0.013157894736842105,0.0,0.2051674393940486,0.07407407407365706
Car9,True,False,E15S,2327,0.5131070047271165,0.09110442629995702,0.011602922217447357,0.21186076493339062,0.06660936828534594,0.011602922217447357,0.2380971892657832,0.1775544388606255
Slc2a1,False,False,E14S,152,1.3092105263157894,0.35526315789473684,0.013157894736842105,0.48026315789473684,0.19736842105263158,0.013157894736842105,0.16237685914193623,0.2713567839193907
Slc2a1,False,False,E15S,2327,2.815212720240653,1.2230339492909326,0.015040825096691019,0.7507520412548345,0.49892565535023636,0.01461108723678556,0.2204582224776199,0.4344374904593175
Vegfa,True,True,E14S,152,1.5592105263157894,0.13815789473684212,0.02631578947368421,0.4934210526315789,0.1118421052631579,0.02631578947368421,0.2761418055507721,0.08860759493665205
Vegfa,True,True,E15S,2327,3.4757198109153418,0.2522561237645036,0.1125913192952299,0.8298238074774388,0.19767941555651053,0.09626128061882251,0.1681029862694836,0.07257665677544894
Ldha,True,True,E14S,152,27.026315789473685,0.3355263157894737,3.5065789473684212,0.8947368421052632,0.19078947368421054,0.6644736842105263,0.41374602238280667,0.012414800389483475
Ldha,True,True,E15S,2327,81.74258702191663,0.5238504512247529,7.559518693596906,0.9922647185217017,0.345509239363988,0.938117748173614,0.20406502676303975,0.0064085377073311
Pdk1,True,True,E14S,152,0.5131578947368421,0.2631578947368421,0.08552631578947369,0.2894736842105263,0.1513157894736842,0.07236842105263158,0.27920141387624475,0.5128205128195135
Pdk1,True,True,E15S,2327,1.3841856467554792,0.44048130640309413,0.28061882251826387,0.625268586162441,0.29995702621400944,0.21658788139235066,0.253905116455183,0.3182241539892144
Bnip3,False,False,E14S,152,2.7960526315789473,0.09868421052631579,0.06578947368421052,0.5855263157894737,0.09210526315789473,0.05921052631578947,0.20189713430401418,0.0352941176470462
Bnip3,False,False,E15S,2327,7.249677696605071,0.26557799742157284,0.3115599484314568,0.8053287494628276,0.18736570691877955,0.20842286205414698,0.2156803064389481,0.036633076467096314
Egln3,False,False,E14S,152,0.4407894736842105,0.2565789473684211,0.006578947368421052,0.2565789473684211,0.11842105263157894,0.006578947368421052,0.4360277586670464,0.5820895522374855
Egln3,False,False,E15S,2327,0.7365706918779544,0.33347657928663516,0.04941985388912763,0.33519553072625696,0.16501933820369574,0.04383326171035668,0.2288953966355152,0.45274212368666655
Egln1,True,True,E14S,152,2.5328947368421053,0.32894736842105265,0.02631578947368421,0.6907894736842105,0.21052631578947367,0.02631578947368421,0.3204235306817317,0.1298701298700786
Egln1,True,True,E15S,2327,6.2045552213149975,0.8126342930812205,0.035668242372152985,0.913622690159003,0.41254834550923936,0.034379028792436615,0.2335154908245715,0.1309738190884953
Pgk1,True,True,E14S,152,16.401315789473685,0.32894736842105265,0.375,0.8552631578947368,0.17763157894736842,0.23026315789473684,0.20855420512459347,0.020056157240271544
Pgk1,True,True,E15S,2327,47.18349806617963,0.6785560807907176,1.285345938977224,0.9806617963042544,0.3743016759776536,0.5805758487322733,0.18374592594976524,0.014381216073444992
Eno1,True,True,E14S,152,16.032894736842106,0.13815789473684212,0.9407894736842105,0.8223684210526315,0.11842105263157894,0.3618421052631579,0.274855098878609,0.00861715223635564
Eno1,True,True,E15S,2327,36.987537602062744,0.25440481306403095,1.9097550494198539,0.9737859905457671,0.19939836699613236,0.740868070477009,0.06325085440800385,0.006878122458463854
Aldoa,True,False,E14S,152,16.980263157894736,0.02631578947368421,0.4868421052631579,0.9210526315789473,0.02631578947368421,0.29605263157894735,0.07832759982721836,0.0015497869043005674
Aldoa,True,False,E15S,2327,45.9445638160722,0.08852599914052428,1.23463687150838,0.9832402234636871,0.0782122905027933,0.6269875376020627,0.030134945753510757,0.001926800295567382
Adm,False,False,E14S,152,0.039473684210526314,0.0,0.0,0.013157894736842105,0.0,0.0,,0.0
Adm,False,False,E15S,2327,0.02922217447357112,0.0,0.0004297378599054577,0.018048990116029222,0.0,0.0004297378599054577,,0.0
Angptl4,True,False,E14S,152,0.5789473684210527,0.006578947368421052,0.0,0.21052631578947367,0.006578947368421052,0.0,0.17985814811007772,0.011363636363616736
Angptl4,True,False,E15S,2327,2.1160292221744736,0.03781693167168027,0.006875805758487323,0.47958745165449074,0.03266007735281478,0.006875805758487323,0.09028784171768509,0.017871649065791712
P4ha1,True,True,E14S,152,1.763157894736842,0.9210526315789473,0.5328947368421053,0.5526315789473685,0.40131578947368424,0.3684210526315789,0.5002348718802574,0.5223880597011963
P4ha1,True,True,E15S,2327,5.408680704770091,2.2445208422862053,2.0803609798023204,0.8998710786420283,0.7142243231628707,0.715513536742587,0.19773347528344665,0.41498490386135656
Bhlhe40,False,False,E14S,152,2.111842105263158,0.18421052631578946,0.18421052631578946,0.5723684210526315,0.13157894736842105,0.13157894736842105,0.27373936908513025,0.08722741433017675
Bhlhe40,False,False,E15S,2327,2.8061882251826384,0.3283197249677697,0.3485174043833262,0.7129351095831543,0.19767941555651053,0.21272024065320155,0.1884236188939882,0.11699846860639017
Mxi1,False,False,E14S,152,1.0921052631578947,0.5855263157894737,0.02631578947368421,0.5263157894736842,0.29605263157894735,0.02631578947368421,0.28901135622436375,0.5361445783127621
Mxi1,False,False,E15S,2327,1.3833261710356684,0.7292651482595617,0.06489041684572411,0.6033519553072626,0.37730984099699183,0.06317146540610227,0.17942513249720035,0.5271823547681805
Myc,False,False,E14S,152,2.289473684210526,0.039473684210526314,0.0,0.4144736842105263,0.039473684210526314,0.0,0.2984328667839302,0.017241379310337295
Myc,False,False,E15S,2327,6.257842715943275,0.17447357112161582,0.0335195530726257,0.8358401375161152,0.13837559088955736,0.03266007735281478,0.2172721300207074,0.027880785606368298
Hmox1,False,False,E14S,152,3.6907894736842106,0.14473684210526316,0.006578947368421052,0.7039473684210527,0.06578947368421052,0.006578947368421052,0.22659733054586384,0.03921568627449918
Hmox1,False,False,E15S,2327,11.560378169316717,0.5427589170605931,0.017619252256123763,0.9217877094972067,0.2346368715083799,0.017619252256123763,0.2049200371462213,0.046949927511984346
Ero1a,True,True,E14S,152,5.25,0.7039473684210527,0.42105263157894735,0.6513157894736842,0.27631578947368424,0.20394736842105263,0.5229013700779229,0.1340852130325559
Ero1a,True,True,E15S,2327,13.420283626987537,1.7851310700472711,1.0128921357971636,0.8998710786420283,0.5685431886549205,0.46325741297808337,0.4580236994068439,0.1330173876845141
Ankrd37,True,False,E14S,152,0.9013157894736842,0.039473684210526314,0.07894736842105263,0.34210526315789475,0.039473684210526314,0.07894736842105263,0.22295137248964975,0.04379562043790761
Ankrd37,True,False,E15S,2327,2.4069617533304686,0.11645896003437903,0.12118607649333907,0.6557799742157284,0.09669101847872798,0.10528577567683713,0.17182544940975747,0.04838421710406845
Serpine1,True,True,E14S,152,0.5592105263157895,0.3684210526315789,0.3157894736842105,0.23026315789473684,0.16447368421052633,0.1513157894736842,0.27225035529832137,0.6588235294105865
Serpine1,True,True,E15S,2327,1.8452943704340352,1.9578856897292651,1.2170176192522562,0.614095401804899,0.4456381607219596,0.3747314138375591,0.2790449819804494,1.0610153702835423
Lox,False,False,E14S,152,0.006578947368421052,0.0,0.0,0.006578947368421052,0.0,0.0,,0.0
Lox,False,False,E15S,2327,0.11559948431456811,0.0,0.0008594757198109154,0.005156854318865492,0.0,0.0008594757198109154,,0.0
Cited2,True,False,E14S,152,11.30921052631579,0.0,0.013157894736842105,0.7697368421052632,0.0,0.013157894736842105,,0.0
Cited2,True,False,E15S,2327,26.823377739578856,0.0,0.028792436613665665,0.9677696605070907,0.0,0.027932960893854747,,0.0
Nqo1,False,False,E14S,152,0.631578947368421,0.019736842105263157,0.019736842105263157,0.2236842105263158,0.019736842105263157,0.019736842105263157,0.31006620874469737,0.031249999999950522
Nqo1,False,False,E15S,2327,1.041254834550924,0.16974645466265578,0.019338203695745595,0.451654490760636,0.12720240653201548,0.018908465835840136,0.15625200962295918,0.16302104828709063
Sod2,False,False,E14S,152,1.4210526315789473,0.13157894736842105,1.875,0.4342105263157895,0.1118421052631579,0.5723684210526315,0.24308222064921023,0.09259259259252743
Sod2,False,False,E15S,2327,3.247958745165449,0.3033949290932531,6.678126342930812,0.8031800601633003,0.22389342501074344,0.8869789428448647,0.10807639732715073,0.09341095527914563
Hif1a,False,False,E14S,152,1.6578947368421053,0.5394736842105263,1.4210526315789473,0.6381578947368421,0.3092105263157895,0.6052631578947368,0.23059237424577061,0.3253968253966291
Hif1a,False,False,E15S,2327,3.1078642028362697,0.8061882251826386,2.6613665663944994,0.832831972496777,0.4520842286205415,0.8392780403953588,0.10158338126784754,0.2594026548671732
Muc1,False,False,E14S,152,0.046052631578947366,0.0,0.0,0.046052631578947366,0.0,0.0,,0.0
Muc1,False,False,E15S,2327,0.017189514396218308,0.004727116458960034,0.0008594757198109154,0.017189514396218308,0.004727116458960034,0.0008594757198109154,0.03908797772067954,0.2749999999840019
