n,med_spliced,med_unspliced,med_ambiguous,med_u_over_s,med_frac_u,med_frac_a,med_genes_s,med_genes_u,p10_unspliced,med_mapping,sample,cell_group,subset,n_genes_mean_u_ge1,n_genes_nz_u_ge_0.2
2042.0,7585.0,1476.0,1234.5,0.19378519801234753,0.1427689438461367,0.1214941031599252,2414.0,856.0,886.1,0.89291445,E14S,TAM,all,,
434.0,2843.5,1068.0,555.5,0.2784351631639142,0.18979820094993657,0.12329324816809183,1051.5,644.5,105.9,0.80280777,E14S,Tumor,all,,
400.0,3456.0,856.5,444.5,0.23201148405468808,0.16872442148896385,0.10689052854446202,994.0,491.0,354.6000000000001,0.868624275,E14S,neutrophil,all,,
1964.0,7223.5,1348.0,1135.0,0.19298917927840747,0.14245903098678817,0.11850401191488467,2107.5,775.0,456.20000000000005,0.89801175,E14S,others,all,,
2347.0,7759.0,1791.0,1308.0,0.21817102137767222,0.15745880694334302,0.12193005872931127,2509.0,972.0,935.0,0.8816485,E15S,TAM,all,,
2651.0,59614.0,7893.0,9344.0,0.1283631994148686,0.09994252719933706,0.12154234034743575,6793.0,3433.0,1358.0,0.9117051,E15S,Tumor,all,,
1076.0,3376.5,813.5,472.0,0.24365253721576585,0.17477159154342398,0.10352255219197233,980.0,437.5,375.5,0.878167025,E15S,neutrophil,all,,
1154.0,7574.0,1442.5,1157.5,0.192187627110633,0.14282013662389773,0.11610021877461203,2193.5,803.0,468.6,0.90020988,E15S,others,all,,
152.0,14166.5,2279.5,2131.0,0.19886279447104174,0.14604061846345184,0.12022398370636825,3481.0,1125.5,314.90000000000003,0.89912868,E14S,Tumor,spliced_ge_5000,,
2327.0,67639.0,8469.0,10416.0,0.12000519663703346,0.09408374300728937,0.12130919712155652,7035.0,3603.0,4245.0,0.9184913,E15S,Tumor,spliced_ge_5000,2355.0,6186.0
